,Topic,Count,region,topic_names,topics
4,3,563,Asia & Oceania,"['car', 'auto', 'transportation', 'workshop', 'repair', 'motorcycle', 'travel', 'transport', 'spare', 'garage']","[('car', 0.13763364977989398), ('auto', 0.06799356467628262), ('transportation', 0.06626546092646829), ('workshop', 0.06464962648540322), ('repair', 0.0639724416970887), ('motorcycle', 0.06337481726355841), ('travel', 0.05900561330446349), ('transport', 0.05532283215690779), ('spare', 0.054973520376568934), ('garage', 0.053695690034645804)]"
5,4,494,Asia & Oceania,"['coffee', 'beverage', 'drink', 'food', 'milk', 'juice', 'ice', 'dairy', 'hookah', 'softdrink']","[('coffee', 0.17411248321272324), ('beverage', 0.11352657268621504), ('drink', 0.10956697992241506), ('food', 0.10229826774333062), ('milk', 0.09288617894549119), ('juice', 0.06371861116371709), ('ice', 0.04836238840403802), ('dairy', 0.047051427422971456), ('hookah', 0.04033543536500579), ('softdrink', 0.03775883590567321)]"
0,-1,1556,Europe,"['construction', 'repair', 'car', 'industry', 'build', 'craft', 'individual', 'work', 'client', 'garage']","[('construction', 0.0850142502153004), ('repair', 0.08001086162392365), ('car', 0.06936743679071275), ('industry', 0.05519674002784482), ('build', 0.04465634752189809), ('craft', 0.03637446702846737), ('individual', 0.03617028422877345), ('work', 0.035390895280823155), ('client', 0.03511553742321007), ('garage', 0.03425144565803917)]"
1,0,792,Europe,"['furniture', 'trade', 'clothing', 'clothes', 'online', 'textile', 'shoe', 'retail', 'jewelry', 'interior']","[('furniture', 0.07903985065018843), ('trade', 0.06951441314207789), ('clothing', 0.06719597674662312), ('clothes', 0.05312702001201005), ('online', 0.04419616438243231), ('textile', 0.04222670630123263), ('shoe', 0.035169975481533125), ('retail', 0.03450086600262111), ('jewelry', 0.02765610380692009), ('interior', 0.027326654634706245)]"
2,1,682,Europe,"['consultancy', 'domain', 'financial', 'marketing', 'legal', 'entity', 'client', 'consultant', 'insurance', 'social']","[('consultancy', 0.08369784266813515), ('domain', 0.08216471939662442), ('financial', 0.07078877143304282), ('marketing', 0.0692538664609536), ('legal', 0.0626029360093447), ('entity', 0.06002001759949313), ('client', 0.04432766542254571), ('consultant', 0.042605488852953066), ('insurance', 0.04192262158470768), ('social', 0.03876908881399743)]"
3,2,526,Europe,"['food', 'coffee', 'wine', 'restaurant', 'grocery', 'catering', 'bakery', 'cake', 'production', 'cafeeteria']","[('food', 0.11657256992678613), ('coffee', 0.09710634602663741), ('wine', 0.08527494316774399), ('restaurant', 0.08273511983907135), ('grocery', 0.06918891305887247), ('catering', 0.06434225568837622), ('bakery', 0.06273875629997663), ('cake', 0.051386082389816325), ('production', 0.046944016170637766), ('cafeeteria', 0.04142496833519767)]"
4,3,445,Europe,"['tourism', 'tourist', 'training', 'sport', 'language', 'game', 'activity', 'rural', 'leisure', 'school']","[('tourism', 0.08209518089275462), ('tourist', 0.053906721266295136), ('training', 0.05382697768916637), ('sport', 0.05352291793027533), ('language', 0.049868739401416985), ('game', 0.04938250175558929), ('activity', 0.049263179295866856), ('rural', 0.04811562051049482), ('leisure', 0.04728095869233795), ('school', 0.0417286725402555)]"
5,4,372,Europe,"['agriculture', 'fruit', 'vegetable', 'garden', 'livestock', 'farm', 'breeding', 'landscape', 'grow', 'raspberry']","[('agriculture', 0.15384500006065063), ('fruit', 0.08380775944314832), ('vegetable', 0.07697416172984162), ('garden', 0.0759884211640191), ('livestock', 0.07386476087228515), ('farm', 0.07315865063974428), ('breeding', 0.04508015554746369), ('landscape', 0.043751351034851144), ('grow', 0.04335522214853463), ('raspberry', 0.04225727253397527)]"
0,-1,672,North America,"['food', 'beverage', 'preparation', 'ice', 'cream', 'coffee', 'water', 'fastfood', 'snack', 'beer']","[('food', 0.1396664115932067), ('beverage', 0.10739141794774495), ('preparation', 0.10063539804057864), ('ice', 0.0920767390368349), ('cream', 0.08582293788667077), ('coffee', 0.06630115871524606), ('water', 0.06082386950700109), ('fastfood', 0.05671862746592164), ('snack', 0.051163114706811626), ('beer', 0.04190265564641267)]"
1,0,549,North America,"['clothing', 'apparel', 'shoe', 'footwear', 'jewelry', 'costume', 'textile', 'accessory', 'retailer', 'clothes']","[('clothing', 0.13514198405290484), ('apparel', 0.11555327488673714), ('shoe', 0.10216886151138636), ('footwear', 0.09783260642706744), ('jewelry', 0.09702515371331444), ('costume', 0.09068819947216201), ('textile', 0.09068819947216201), ('accessory', 0.08262173584980756), ('retailer', 0.08029678415394816), ('clothes', 0.07376106601305303)]"
2,1,471,North America,"['truck', 'repair', 'auto', 'automobile', 'mechanic', 'car', 'tire', 'transportation', 'automotive', 'maintenance']","[('truck', 0.11503771570570023), ('repair', 0.09506826946663445), ('auto', 0.08873389626589108), ('automobile', 0.07746408528440159), ('mechanic', 0.07564197911854534), ('car', 0.06575579542271442), ('tire', 0.060837937960976814), ('transportation', 0.048218639650598506), ('automotive', 0.045417897888856314), ('maintenance', 0.04498642092460351)]"
3,2,368,North America,"['activity', 'sector', 'detailed', 'nature', 'base', 'primary', 'profit', 'non', 'social', 'marketing']","[('activity', 0.04576626772856235), ('sector', 0.04518964616070984), ('detailed', 0.04493638617288355), ('nature', 0.04404540627159373), ('base', 0.0431621428139598), ('primary', 0.041278285712468714), ('profit', 0.03339554093304536), ('non', 0.031008404913827177), ('social', 0.029892221123520513), ('marketing', 0.024531101852330612)]"
4,3,353,North America,"['restaurant', 'pastry', 'bar', 'cake', 'eatery', 'rican', 'food', 'small', 'puerto', 'grocery']","[('restaurant', 0.11622184972511079), ('pastry', 0.0818945491096012), ('bar', 0.07644981263960755), ('cake', 0.07228607529547862), ('eatery', 0.06629178025191654), ('rican', 0.05306900530222539), ('food', 0.05291365745165217), ('small', 0.05120126940109661), ('puerto', 0.050964633235716185), ('grocery', 0.041597530313422976)]"
5,4,350,North America,"['construction', 'furniture', 'remodeling', 'workshop', 'material', 'renovation', 'craft', 'wood', 'building', 'home']","[('construction', 0.10725493344705463), ('furniture', 0.0989155311320379), ('remodeling', 0.0728717253329455), ('workshop', 0.07192814858167342), ('material', 0.06948175674352597), ('renovation', 0.06098127014138683), ('craft', 0.059006834695703995), ('wood', 0.05716994075755015), ('building', 0.05602966285698709), ('home', 0.04919163198621286)]"
0,0,1157,Latin America & Caribbean,"['restaurant', 'grocery', 'warehouse', 'bakery', 'coffee', 'pastry', 'bar', 'small', 'homemade', 'food']","[('restaurant', 0.09265174810741257), ('grocery', 0.06552410113385607), ('warehouse', 0.054570377106323086), ('bakery', 0.054441896485947654), ('coffee', 0.05016064966338789), ('pastry', 0.04763774253658964), ('bar', 0.0475831068580913), ('small', 0.045430303086136194), ('homemade', 0.04441732364401213), ('food', 0.03738608636094908)]"
1,-1,953,Latin America & Caribbean,"['clothes', 'apparel', 'clothing', 'footwear', 'wear', 'woman', 'underwear', 'accessory', 'shoe', 'trade']","[('clothes', 0.20510270563829835), ('apparel', 0.11505646073637762), ('clothing', 0.10788827979337819), ('footwear', 0.07069621034925876), ('wear', 0.0678042186274725), ('woman', 0.0588462711559727), ('underwear', 0.057492931202306315), ('accessory', 0.05219994033046775), ('shoe', 0.04668466586612642), ('trade', 0.045325368080897294)]"
2,1,884,Latin America & Caribbean,"['craft', 'construction', 'manufacture', 'build', 'manufacturing', 'contractor', 'handicraft', 'carpentry', 'material', 'handcraft']","[('craft', 0.10783835278467141), ('construction', 0.09624011716726391), ('manufacture', 0.07885301732999242), ('build', 0.07256408993838787), ('manufacturing', 0.07237383429735834), ('contractor', 0.06571502624038718), ('handicraft', 0.05921456932118287), ('carpentry', 0.04861355571307449), ('material', 0.04406023391744213), ('handcraft', 0.03800282030772923)]"
3,2,750,Latin America & Caribbean,"['car', 'repair', 'workshop', 'maintenance', 'mechanic', 'motorcycle', 'spare', 'machinery', 'vehicle', 'machine']","[('car', 0.15592569088568115), ('repair', 0.10420785762886223), ('workshop', 0.09501266137804133), ('maintenance', 0.07797159534284419), ('mechanic', 0.07382195271889767), ('motorcycle', 0.05989490506100738), ('spare', 0.05926667549209353), ('machinery', 0.0552638344921127), ('vehicle', 0.049636693449679276), ('machine', 0.04863539104850409)]"
4,3,700,Latin America & Caribbean,"['agriculture', 'fruit', 'greengrocery', 'vegetable', 'cattle', 'commercialization', 'production', 'livestock', 'flower', 'organic']","[('agriculture', 0.25612901518018155), ('fruit', 0.1310369847250539), ('greengrocery', 0.11960139068350203), ('vegetable', 0.10979591990196347), ('cattle', 0.08911089646682549), ('commercialization', 0.08497073088959528), ('production', 0.0664253414967874), ('livestock', 0.06448374492271088), ('flower', 0.05460046807638452), ('organic', 0.04877203559036032)]"
5,4,535,Latin America & Caribbean,"['computer', 'software', 'hardware', 'electronic', 'electrical', 'technology', 'repair', 'cellphone', 'technical', 'mobile']","[('computer', 0.13893879808681248), ('software', 0.11072908775266478), ('hardware', 0.10036895934317411), ('electronic', 0.0934039628464907), ('electrical', 0.08626556982879371), ('technology', 0.0862600857953169), ('repair', 0.0855229571258277), ('cellphone', 0.08020309491372739), ('technical', 0.07749213305165464), ('mobile', 0.07623877986087092)]"
