,Topic,Count,region,topic_names,topics
4,3,67,Asia & Oceania,"['sari', 'goods', 'condiment', 'need', 'selling', 'house', 'ingredient', 'yellow', 'dry', 'thing']","[('sari', 0.6864155823654863), ('goods', 0.0998869185334418), ('condiment', 0.06723070747457166), ('need', 0.057921450353569895), ('selling', 0.05039118253887207), ('house', 0.04929999350547068), ('ingredient', 0.048895849300183064), ('yellow', 0.048895849300183064), ('dry', 0.04792815489869836), ('thing', 0.044820471649714436)]"
5,4,61,Asia & Oceania,"['restaurant', 'bath', 'large', 'secure', 'canteen', 'demand', 'food', 'liquer', 'junkshop', 'motel']","[('restaurant', 0.8355985537645968), ('bath', 0.09729780113268753), ('large', 0.09729780113268753), ('secure', 0.08918821126256309), ('canteen', 0.08918821126256309), ('demand', 0.07542815090714605), ('food', 0.0607708039101525), ('liquer', 0.05560940945386225), ('junkshop', 0.05560940945386225), ('motel', 0.05560940945386225)]"
0,-1,426,Europe,"['food', 'vegetable', 'fruit', 'production', 'meat', 'livestock', 'agriculture', 'cattle', 'cultivation', 'farm']","[('food', 0.10022003714906831), ('vegetable', 0.06832881256991843), ('fruit', 0.06333997122965065), ('production', 0.06103553254738824), ('meat', 0.05802776569589292), ('livestock', 0.05523441347330678), ('agriculture', 0.043164584949895904), ('cattle', 0.03951797239566167), ('cultivation', 0.03951797239566167), ('farm', 0.03489271787071186)]"
1,0,156,Europe,"['restaurant', 'pub', 'cater', 'music', 'catering', 'bar', 'hospitality', 'party', 'musical', 'cafeeteria']","[('restaurant', 0.1766585882846709), ('pub', 0.1321015323784128), ('cater', 0.11385448525995266), ('music', 0.10050576651050996), ('catering', 0.09045518985945897), ('bar', 0.08318269561539457), ('hospitality', 0.07521886791219692), ('party', 0.07035403655735697), ('musical', 0.06989878995413774), ('cafeeteria', 0.06989878995413774)]"
2,1,99,Europe,"['clothing', 'textile', 'clothes', 'fashion', 'woman', 'child', 'brand', 'female', 'footwear', 'trade']","[('clothing', 0.20810295283697175), ('textile', 0.14613989683201928), ('clothes', 0.14613989683201928), ('fashion', 0.09525704212299761), ('woman', 0.07671328250647899), ('child', 0.05470189404454204), ('brand', 0.052772763801427446), ('female', 0.04987868205629225), ('footwear', 0.04987868205629225), ('trade', 0.043446993803848)]"
3,2,92,Europe,"['construction', 'building', 'build', 'house', 'work', 'flat', 'restoration', 'renovation', 'apartment', 'repair']","[('construction', 0.2431508158925562), ('building', 0.09789590639892642), ('build', 0.09766014864820909), ('house', 0.0941054124908724), ('work', 0.07504944164369468), ('flat', 0.0590257130916938), ('restoration', 0.0518750813187565), ('renovation', 0.047220570473355046), ('apartment', 0.04461907044503923), ('repair', 0.04390856108376145)]"
4,3,86,Europe,"['beauty', 'salon', 'cosmetic', 'hairdresser', 'hair', 'florist', 'nail', 'pedicure', 'hairdressing', 'health']","[('beauty', 0.2658134988928549), ('salon', 0.22986587939203035), ('cosmetic', 0.20249272404295968), ('hairdresser', 0.1612280004439431), ('hair', 0.13790125783902768), ('florist', 0.06667755822427722), ('nail', 0.06667755822427722), ('pedicure', 0.06667755822427722), ('hairdressing', 0.06667755822427722), ('health', 0.05298646345120989)]"
5,4,66,Europe,"['agriculture', 'machinery', 'forestry', 'rural', 'farm', 'tourism', 'farmer', 'processing', 'equipment', 'agrobusiness']","[('agriculture', 0.40924913089288095), ('machinery', 0.10407642101058694), ('forestry', 0.09026761973112968), ('rural', 0.08650528084864845), ('farm', 0.07351610368986462), ('tourism', 0.07351610368986462), ('farmer', 0.07105359425000123), ('processing', 0.06672607032054394), ('equipment', 0.06273309005677372), ('agrobusiness', 0.05871880484464755)]"
0,0,420,North America,"['repair', 'workshop', 'design', 'computer', 'water', 'real', 'laundry', 'rent', 'furniture', 'estate']","[('repair', 0.048329932745331455), ('workshop', 0.033067264637567456), ('design', 0.03178640847090333), ('computer', 0.030910755487314888), ('water', 0.030205481160402663), ('real', 0.029409234287575498), ('laundry', 0.029409234287575498), ('rent', 0.028047946791802475), ('furniture', 0.027854210012899526), ('estate', 0.027854210012899526)]"
1,-1,146,North America,"['food', 'run', 'night', 'treat', 'dry', 'health', 'home', '', '', '']","[('food', 0.7717127402345554), ('run', 0.09031478572679437), ('night', 0.05650989601543128), ('treat', 0.05650989601543128), ('dry', 0.05650989601543128), ('health', 0.0351654122258111), ('home', 0.024812069588912057), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
2,1,89,North America,"['food', 'restaurant', 'meat', 'chicken', 'puerto', 'rican', 'seafood', 'mexican', 'dinner', 'hamburger']","[('food', 0.1283036810662841), ('restaurant', 0.128191650844815), ('meat', 0.10387775870312348), ('chicken', 0.09850987876026226), ('puerto', 0.07906304446264031), ('rican', 0.07906304446264031), ('seafood', 0.07204849244525739), ('mexican', 0.06870259215109502), ('dinner', 0.06588587038553359), ('hamburger', 0.06092909695944819)]"
3,2,80,North America,"['clothing', 'clothes', 'secondhand', 'woman', 'traditional', 'tailor', 'designer', 'accessory', 'fashion', 'safety']","[('clothing', 0.36987656479988484), ('clothes', 0.257143266648725), ('secondhand', 0.16165466141070503), ('woman', 0.074144566745635), ('traditional', 0.07389391559464993), ('tailor', 0.07389391559464993), ('designer', 0.07389391559464993), ('accessory', 0.06977647428038093), ('fashion', 0.05382043691357381), ('safety', 0.05382043691357381)]"
4,3,65,North America,"['beauty', 'salon', 'cosmetic', 'makeup', 'nail', 'hair', 'hairstyle', 'unisex', 'therapeutic', 'plan']","[('beauty', 0.47981225384483983), ('salon', 0.42278143894136194), ('cosmetic', 0.14692154569804017), ('makeup', 0.11475987419424231), ('nail', 0.09704874126474983), ('hair', 0.05672093950173049), ('hairstyle', 0.05672093950173049), ('unisex', 0.05672093950173049), ('therapeutic', 0.05672093950173049), ('plan', 0.05672093950173049)]"
5,4,59,North America,"['fruit', 'vegetable', 'agriculture', 'stall', 'banana', 'organic', 'fresh', 'garden', 'horse', 'produce']","[('fruit', 0.2582381664956154), ('vegetable', 0.25240221111610206), ('agriculture', 0.2293074591735767), ('stall', 0.17079335992702124), ('banana', 0.12154513219306906), ('organic', 0.1136014471346721), ('fresh', 0.1074667233108699), ('garden', 0.08852707380176626), ('horse', 0.08852707380176626), ('produce', 0.08852707380176626)]"
0,-1,195,Latin America & Caribbean,"['clothes', 'laundry', 'clothing', 'secondhand', 'outer', 'inner', 'trade', 'shirt', 'machine', 'casual']","[('clothes', 0.49921843775914504), ('laundry', 0.11031374337051042), ('clothing', 0.060997912352639294), ('secondhand', 0.026681960377741436), ('outer', 0.026681960377741436), ('inner', 0.026681960377741436), ('trade', 0.020850115342755188), ('shirt', 0.020850115342755188), ('machine', 0.020850115342755188), ('casual', 0.020850115342755188)]"
1,0,177,Latin America & Caribbean,"['fastfood', 'restaurant', 'food', 'production', 'chicken', 'meat', 'organic', 'dog', 'hamburger', 'livestock']","[('fastfood', 0.07477571627060199), ('restaurant', 0.060697365537739835), ('food', 0.04907989644858957), ('production', 0.047972692334690294), ('chicken', 0.047856224529247676), ('meat', 0.047856224529247676), ('organic', 0.043686230812716366), ('dog', 0.041874196463091706), ('hamburger', 0.039250442504523184), ('livestock', 0.039250442504523184)]"
2,1,128,Latin America & Caribbean,"['agriculture', 'yewerly', 'plant', 'landscape', 'grain', 'nursery', 'contribute', 'corner', 'piece', 'marketer']","[('agriculture', 0.5986827164704807), ('yewerly', 0.19030037957008605), ('plant', 0.09457327760404576), ('landscape', 0.05981351215407071), ('grain', 0.05423946089164286), ('nursery', 0.05423946089164286), ('contribute', 0.03470520720461474), ('corner', 0.03470520720461474), ('piece', 0.03470520720461474), ('marketer', 0.03470520720461474)]"
3,2,122,Latin America & Caribbean,"['clothing', 'manufacture', 'woman', 'man', 'footwear', 'social', 'shoe', 'network', 'publicity', 'maker']","[('clothing', 0.1134561169759091), ('manufacture', 0.10646916449444477), ('woman', 0.10583246227592516), ('man', 0.0726599528903305), ('footwear', 0.06345124333827086), ('social', 0.05870489010615246), ('shoe', 0.058623875048328396), ('network', 0.052834401095537206), ('publicity', 0.051295890667287354), ('maker', 0.04226243342930795)]"
4,3,103,Latin America & Caribbean,"['stall', 'food', '', '', '', '', '', '', '', '']","[('stall', 0.4418837700842975), ('food', 0.2672127695534321), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
5,4,97,Latin America & Caribbean,"['car', 'workshop', 'bookstore', 'washing', 'motorcycle', 'library', 'wash', 'time', 'remiser', 'publication']","[('car', 0.3452013835333523), ('workshop', 0.33479930682184367), ('bookstore', 0.16709824689810665), ('washing', 0.16709824689810665), ('motorcycle', 0.13417562734474245), ('library', 0.11448045730485928), ('wash', 0.05091269189304828), ('time', 0.029540741846785158), ('remiser', 0.029540741846785158), ('publication', 0.029540741846785158)]"
